"Plot_ID","Species","Subplot_ID","DBH","Status"
2,"Quercus alba",3,5.4,"D"
2,"Quercus alba",3,8.4,"A"
2,"Quercus alba",3,12.9,"A"
2,"Quercus alba",4,13,"A"
2,"Quercus alba",4,6.7,"A"
2,"Quercus alba",6,2.9,"A"
2,"Quercus alba",7,2.7,"A"
2,"Quercus alba",8,1,"A"
2,"Quercus alba",8,18,"A"
2,"Quercus alba",9,1.5,"D"
2,"Quercus alba",9,4,"A"
2,"Quercus alba",9,2,"A"
2,"Quercus alba",9,2.9,"A"
2,"Quercus velutina",1,8.6,"A"
2,"Quercus velutina",1,4.5,"A"
2,"Quercus velutina",1,2.2,"A"
2,"Quercus velutina",2,10,"A"
2,"Quercus velutina",3,4.1,"D"
2,"Quercus velutina",3,15,"A"
2,"Quercus velutina",4,5.4,"A"
2,"Quercus velutina",4,5.5,"A"
2,"Quercus velutina",4,5,"A"
2,"Quercus velutina",4,4.6,"A"
2,"Quercus velutina",4,8.1,"A"
2,"Quercus velutina",4,3.9,"A"
2,"Quercus velutina",4,9.3,"A"
2,"Quercus velutina",4,4.4,"A"
2,"Quercus velutina",4,5.7,"A"
2,"Quercus velutina",5,3.4,"A"
2,"Quercus velutina",5,4.8,"A"
2,"Quercus velutina",5,16.1,"A"
2,"Quercus velutina",5,5.2,"A"
2,"Quercus velutina",5,3,"A"
2,"Quercus velutina",6,8,"D"
2,"Quercus velutina",6,13.7,"A"
2,"Quercus velutina",6,15.5,"A"
2,"Quercus velutina",6,2,"A"
2,"Quercus velutina",7,6.8,"D"
2,"Quercus velutina",7,11.5,"D"
2,"Quercus velutina",7,5.5,"A"
2,"Quercus velutina",7,7.7,"A"
2,"Quercus velutina",7,5.1,"A"
2,"Quercus velutina",7,7.1,"A"
2,"Quercus velutina",7,4.2,"A"
2,"Quercus velutina",8,4.6,"A"
2,"Quercus velutina",8,11.9,"A"
2,"Quercus velutina",8,2.3,"A"
2,"Quercus velutina",8,3.3,"A"
2,"Quercus velutina",8,4.4,"A"
2,"Quercus velutina",8,11.2,"A"
2,"Quercus velutina",9,4.3,"D"
2,"Quercus velutina",9,1.6,"D"
2,"Quercus velutina",9,2.6,"A"
2,"Quercus velutina",9,3.1,"A"
2,"Quercus velutina",9,2,"A"
2,"Quercus velutina",9,3.4,"A"
2,"Quercus velutina",9,11,"A"
2,"Quercus velutina",9,4,"A"
2,"Sassafras albidum",1,3.2,"A"
2,"Sassafras albidum",6,1.5,"A"
2,"Sassafras albidum",6,1.9,"A"
3,"Carya ovalis",1,2.2,"A"
3,"Carya ovalis",1,6.8,"A"
3,"Carya ovalis",2,12,"A"
3,"Carya ovalis",2,3.3,"A"
3,"Carya ovalis",2,4.5,"A"
3,"Carya ovalis",3,2.5,"A"
3,"Carya ovalis",4,5.6,"A"
3,"Carya ovalis",4,2.2,"A"
3,"Carya ovalis",5,9.5,"A"
3,"Carya ovalis",7,3.8,"A"
3,"Carya ovalis",7,2.3,"A"
3,"Carya ovalis",7,1.9,"A"
3,"Carya ovalis",9,4.4,"A"
3,"Carya ovata",8,4.3,"A"
3,"Crataegus spp.",6,0.7,"D"
3,"Crataegus spp.",6,0.6,"D"
3,"Prunus serotina",6,0.6,"D"
3,"Prunus serotina",8,1.4,"A"
3,"Quercus alba",2,1.9,"A"
3,"Quercus alba",3,4.1,"A"
3,"Quercus alba",4,3,"D"
3,"Quercus alba",4,3.3,"D"
3,"Quercus alba",4,17.2,"A"
3,"Quercus alba",4,4.4,"A"
3,"Quercus alba",4,4.7,"A"
3,"Quercus alba",7,2.3,"D"
3,"Quercus alba",7,5.1,"A"
3,"Quercus alba",7,6.7,"A"
3,"Quercus alba",7,7.5,"A"
3,"Quercus alba",7,4.1,"A"
3,"Quercus alba",8,3,"A"
3,"Quercus alba",8,8.8,"A"
3,"Quercus alba",8,7.3,"A"
3,"Quercus alba",8,1.6,"A"
3,"Quercus alba",9,2.3,"A"
3,"Quercus velutina",1,4.6,"D"
3,"Quercus velutina",1,5,"D"
3,"Quercus velutina",1,5.3,"D"
3,"Quercus velutina",1,4.3,"D"
3,"Quercus velutina",1,2.8,"D"
3,"Quercus velutina",1,6.9,"A"
3,"Quercus velutina",1,10.1,"A"
3,"Quercus velutina",1,7,"A"
3,"Quercus velutina",1,6.8,"A"
3,"Quercus velutina",1,6.1,"A"
3,"Quercus velutina",1,7.2,"A"
3,"Quercus velutina",1,4.7,"A"
3,"Quercus velutina",1,9.8,"A"
